author_name,book_title,publisher,pub_year,hint_city,hint_state
Daniel Boulud,Daniel: My French Cuisine,Grand Central,2013,New York,NY
Eric Ripert,Le Bernardin Cookbook,Doubleday,2014,New York,NY
Thomas Keller,The French Laundry Cookbook,Artisan,1999,Yountville,CA
Grant Achatz,Alinea,Ten Speed,2008,Chicago,IL
Sean Brock,Heritage,Artisan,2014,Nashville,TN
Gabrielle Hamilton,Prune,Random House,2014,New York,NY
Missy Robbins,Pasta,Ten Speed,2021,New York,NY
Marc Vetri,Mastering Pasta,Ten Speed,2015,Philadelphia,PA
Joshua McFadden,Six Seasons,Artisan,2017,Portland,OR
Andy Ricker,Pok Pok,Ten Speed,2013,Portland,OR
April Bloomfield,A Girl and Her Pig,Ecco,2012,New York,NY
Christina Tosi,Milk Bar Life,Clarkson Potter,2015,New York,NY
Jeremiah Tower,California Dish,Free Press,2003,San Francisco,CA
Naomi Pomeroy,Taste & Technique,Ten Speed,2016,Portland,OR
Suzanne Goin,Sunday Suppers at Lucques,Knopf,2005,Los Angeles,CA
Nancy Silverton,Mozza at Home,Knopf,2016,Los Angeles,CA
David Chang,Momofuku,Clarkson Potter,2009,New York,NY
Roy Choi,L.A. Son,Anthony Bourdain/Ecco,2013,Los Angeles,CA
Edouardo Jordan,Salare,—,—,Seattle,WA
Ashley Christensen,Poole's: Recipes and Stories,Ten Speed,2016,Raleigh,NC
Vivian Howard,Deep Run Roots,Voracious,2016,Kinston,NC
Sean Sherman,The Sioux Chef's Indigenous Kitchen,University of Minnesota,2017,Minneapolis,MN
Kwame Onwuachi,Notes from a Young Black Chef,Knopf,2019,Washington,DC
Mashama Bailey,"Black, White and The Grey",Lorena Jones,2021,Savannah,GA
Tom Colicchio,Think Like a Chef,Clarkson Potter,2000,New York,NY
Mario Carbone,—,—,—,New York,NY
Ignacio Mattos,Estela,Artisan,2018,New York,NY
Enrique Olvera,Mexico from the Inside Out,Phaidon,2015,New York,NY
Alex Stupak,Tacos: Recipes and Provocations,Clarkson Potter,2015,New York,NY
Andrew Tarlow,Diner Journal Cookbook,Artisan,2014,Brooklyn,NY
Jonathan Waxman,"Italian, My Way",Simon & Schuster,2011,New York,NY
Marco Canora,Brodo: A Bone Broth Cookbook,Clarkson Potter,2015,New York,NY
Missy Robbins,Breakfast Lunch Dinner Life,Rizzoli,2017,Brooklyn,NY
Jessica Koslow,Everything I Want to Eat,Abrams,2016,Los Angeles,CA
Roy Yamaguchi,—,—,—,Honolulu,HI
Frank Stitt,Frank Stitt's Southern Table,Artisan,2004,Birmingham,AL
Donald Link,Real Cajun,Clarkson Potter,2009,New Orleans,LA
Susan Spicer,Crescent City Cooking,Knopf,2007,New Orleans,LA
Stephanie Izard,Gather & Graze,Clarkson Potter,2018,Chicago,IL
Bryan Voltaggio,Vegetable,Houghton Mifflin Harcourt,2018,Frederick,MD
Michael Solomonov,Zahav,Houghton Mifflin Harcourt,2015,Philadelphia,PA
Marc Forgione,Marc Forgione: Recipes and Stories,Olive Press,2014,New York,NY
Hugo Ortega,Backstreet Kitchen,—,—,Houston,TX
Tyson Cole,Uchi: The Cookbook,Ten Speed,2011,Austin,TX
Aarón Sánchez,Where I Come From,—,2019,New York,NY
Carla Hall,Carla Hall's Soul Food,Harper Wave,2018,New York,NY
Edward Lee,Smoke and Pickles,Artisan,2013,Louisville,KY
Hugh Acheson,A New Turn in the South,Clarkson Potter,2011,Athens,GA
Linton Hopkins,—,—,—,Atlanta,GA
Mark Vetri,Vetri Family Style,Clarkson Potter,2020,Philadelphia,PA
Renee Erickson,A Boat a Whale and a Walrus,Sasquatch,2014,Seattle,WA
Joshua Skenes,Saison,Phaidon,2019,San Francisco,CA
Corey Lee,Benu,Phaidon,2015,San Francisco,CA
Dominique Crenn,Atelier Crenn: Metamorphosis of Taste,Houghton Mifflin Harcourt,2015,San Francisco,CA
Alice Waters,The Art of Simple Food,Clarkson Potter,2007,Berkeley,CA
Niki Nakayama,—,—,—,Los Angeles,CA
Ludo Lefebvre,Ludo Bites,Ecco,2014,Los Angeles,CA
