city,state,partner_count
Centereach,NY,2
Darien,CT,2
Johns Creek,GA,2
Williston Park,NY,2
Accident,MD,1
Aledo,TX,1
Ashburn,GA,1
Ashland,MA,1
Ball Ground,GA,1
Barrington,RI,1
Belvedere,CA,1
Berlin,NJ,1
Bethany,OK,1
Bloomville,NY,1
Brea,CA,1
Bristol,ME,1
Castroville,CA,1
Central Point,OR,1
Clinton Corners,NY,1
Creston,OH,1
Dartmouth,MA,1
Dedham,MA,1
Demarest,NJ,1
Double Oak,TX,1
Douglasville,GA,1
Dublin,TX,1
Englewood Cliffs,NJ,1
Erda,UT,1
Farmers Branch,TX,1
Fort Lupton,CO,1
Grosse Pointe Woods,MI,1
Groton,CT,1
Honey Brook,PA,1
Jonestown,TX,1
Key Biscayne,FL,1
Knightdale,NC,1
La Verne,CA,1
Lake Buena Vista,FL,1
Lantana,FL,1
Leicester,NC,1
Liberty Lake,WA,1
Lisbon,ME,1
Long Lake,MN,1
Lonsdale,MN,1
Macomb,MI,1
Marlboro,NY,1
McLean,VA,1
Mechanicsville,VA,1
Middlesex,VT,1
Midlothian,VA,1
Milton-Freewater,OR,1
Missouri City,TX,1
Mountain Home,ID,1
New Hyde Park,NY,1
Newfield,NJ,1
Nicasio,CA,1
Niles,IL,1
North Bergen,NJ,1
Northbrook,IL,1
Ocean City,MD,1
Orrtanna,PA,1
Pacifica,CA,1
Paradise Valley,AZ,1
Peabody,MA,1
Pilot Mountain,NC,1
Pitts,GA,1
Plainfield,IL,1
Plymouth,MN,1
Portsmouth,RI,1
Queen Creek,AZ,1
Rocklin,CA,1
San Leandro,CA,1
Saylorsburg,PA,1
Scarsdale,NY,1
Shoreline,WA,1
Short Pump,VA,1
Signal Hill,CA,1
Sunderland,VT,1
Sunrise,FL,1
Swarthmore,PA,1
Thousand Oaks,CA,1
Trussville,AL,1
Upperville,VA,1
Washington,NJ,1
West Lake Hills,TX,1
West Linn,OR,1
Westcliffe,CO,1
Wethersfield,CT,1
Williamsburg,PA,1
Woodridge,IL,1
